site,province,county,country,latitude,longitude
Jianzhuwu Cave,Heilongjiang,daqing,China,46.59,125.01
Gezi Cave,Jilin,Jilin,China,43.47,125.96
New cave,Jilin,Jilin,China,43.17477,125.51178
Temple cave,Liaoning,Benxi,China,41.38,124.96
Liaoning Bianfu Cave,Liaoning,Benxi,China,41.38,124.96
Dalazi Cave,Jilin,Tonghua,China,41.3558,125.5098
Di Cave,Jilin,Tonghua,China,41.3558,125.5098
Wu Dai Cave,Jilin,Tonghua,China,41.3558,125.5098
jian bianfu Cave,Jilin,Tonghua,China,41.3558,125.5098
Guaishi Cave,Liaoning,Benxi,China,41.200613,123.452118
Beijing Bianfu Cave,Beijing,fangshan,China,39.42808,115.43551
Sakishore,Racha,N/A,Georgia,42.44284722,43.15805278
Melouri Cave,Imereti,N/A,Georgia,42.38735,42.62783333
Sachinkie,Imereti,N/A,Georgia,42.25283333,43.30669444
Satsurblia ,Imereti,N/A,Georgia,42.17956,43.40859
Esztramos mines,,Borsod-Aba√∫j-Zempl√©n,Hungary,48.518903,20.748009
Vass Imre cave,,Borsod-Aba√∫j-Zempl√©n,Hungary,48.497954,20.537106
BE'KE CAVE,,Borsod-Aba√∫j-Zempl√©n,Hungary,48.460816,20.542759
Szoplaki √ñrd√∂glyuk cave,,Pest,Hungary,47.70817,18.87471
Macska cave,,Pest,Hungary,47.64395,18.94487
"Kisloëd, bauxite mine",,Veszpr√©m,Hungary,47.12297,17.63152
Manfai cave,,Baranya,Hungary,46.14894,18.21035
XUANYUN CAVE,,,Israel,36.7,117.4
alma,,,Israel,33.05,35.5
BERENIKI,,,Israel,32.84,35.34
SHTULA,,,Israel,32.82,35.32
SARACH,,,Israel,32.81,35.31
YANA,,,Israel,32.8,35.3
TEFEN,,,Israel,32.8,35.3
Site 1,,,Israel,31.768225,35.096385
Momonoki cave,Iwate,Iwaizumi,Japan,39.97535,141.78048
Kuroishino drainage,Iwate,Morioka,Japan,39.73968,141.13801
Manju-koh abandoned mine,Iwate,Morioka,Japan,39.60174,141.25076
Funakubo limestone cave,Iwate,Shiwa,Japan,39.56561,141.24971
Kazaana ruins,Iwate,Hanamaki,Japan,39.45086,141.35736
Hinoki-sawa quarry,Shizuoka,Shimoda,Japan,34.6889,138.91184
Isshiki tunnel,Shizuoka,Minami-Izu,Japan,34.64886,138.8173
Kutsu,Shikoku,,Japan,33.40450031,133.3432387
Nakatosa,Shikoku,,Japan,33.31558951,133.2234757
Kubokawa,Shikoku,,Japan,33.21337202,133.1295598
Nishitosa JA,Shikoku,,Japan,33.18037198,132.7844186
Nishitosa mochi,Shikoku,,Japan,33.17274533,132.793091
huit,Khavsgol,,Mongolia,51.362687,99.290333
dayandeerkh,Khavsgol,,Mongolia,50.495503,102.135132
new site,Khentii,,Mongolia,49.133947,110.887244
tsagaandel,Dornogovi,,Mongolia,45.633347,108.738256
shar khanan,Dundgovi,,Mongolia,45.562977,108.386664
lovonchombo,Umnugovi,,Mongolia,42.517233,107.821216
gurvan zeerd,Umnugovi,,Mongolia,42.479747,107.182326
Ingarsby Railway Tunnel,England,Leicestershire,UK,52.63684581,-1.014338272
Eaton Chalk Pit,England,Norfolk,UK,52.60957261,1.25969532
Ickworth House Vaults,England,Suffolk,UK,52.2200027,0.655608127
Balsham Caves,England,Cambridgeshire,UK,52.13578211,0.298403909
Old Warden Tunnel,England,Bedfordshire,UK,52.08323584,-0.381518228
Chadwell Spring Mine,England,Hertfordshire,UK,51.80479891,-0.040943966
Exmoor (Private roost),England,Somerset,UK,51.12898317,-3.32662651
Cocking Tunnel,England,Sussex,UK,50.94583809,-0.758706425
Drovers Tunnel,England,Sussex,UK,50.9260747,-0.760655291
Brayanston Old Kitchen,England,Dorset,UK,50.86229678,-2.18012972
Rock Farm Cave,England,Devon,UK,50.48209523,-3.77308145
mass c,MI,,US,46.758938,-89.106646
beatens cave,MI,,US,46.720387,-89.188296
glen adit,MI,,US,46.692165,-89.231907
taylor mine,MI,,US,46.663304,-88.448235
geiger beer cave,WI,,US,45.31855,-92.707601
horseshoe bay,WI,,US,45.01695,-87.32715
potowatomi,WI,,US,44.87694,-87.43083
crystal_wi,WI,,US,44.833055,-92.251915
south portal,WI,,US,44.83181,-92.25112
bay city mine,WI,,US,44.5941,-92.4258
maiden rock,WI,,US,44.5626,-92.3027
maribel,WI,,US,44.28879,-87.77423
tunnel city,WI,,US,44.00857,-90.57844
ledgeview,WI,,US,44.00189,-88.15023
autograph,WI,,US,43.88574,-90.22245
elroy sparta,WI,,US,43.86371,-90.67402
dells culvert,WI,,US,43.62126,-89.77126
neda mine,WI,,US,43.4252,-88.5348
bear creek,WI,,US,43.36709,-90.11934
boscobel bear,WI,,US,43.221,-90.743
stampfli,WI,,US,43.10298,-89.83261
stegen,WI,,US,42.916584,-90.183656
pump station,WI,,US,42.884233,-90.162057
johnston pottery,WI,,US,42.87161,-90.16832
st. john,WI,,US,42.68641,-90.71564
st john,WI,,US,42.68641,-90.71564
strawberry blonde,WI,,US,42.53747,-90.37296
blackball,IL,,US,41.34401,-89.04213
zimmerman,IL,,US,41.33955,-89.04024
hupmans,VA,virginia,US,38.247,-79.52268
breathing,VA,virginia,US,38.20804,-79.63758
starr chapel,VA,virginia,US,38.1703,-79.75323
crossroads,VA,virginia,US,38.0534,-79.6918
witheros,VA,virginia,US,38.02233,-79.60233
tawneys,VA,virginia,US,37.31529,-80.51102
stoneley,VA,virginia,US,37.16847,-81.45264
newberry,VA,virginia,US,37.11586,-80.97808
coon,VA,virginia,US,37.115,-80.978
kelly,VA,virginia,US,36.90042,-82.70954