transect,habitat,no_liz
P4,non_urban,4
P6,non_urban,4
P5,non_urban,4
P4,non_urban,3
P6,non_urban,4
P5,non_urban,6
P6,non_urban,1
P4,non_urban,2
P5,non_urban,2
P3,urban,2
P1,urban,4
P2,urban,7
P5,non_urban,3
P4,non_urban,2
P6,non_urban,4
P5,non_urban,1
P4,non_urban,3
P6,non_urban,2
P6,non_urban,5
P4,non_urban,2
P5,non_urban,2
P2,urban,5
P3,urban,4
P1,urban,3
P2,urban,8
P3,urban,3
P1,urban,5
P1,urban,8
P2,urban,10
P3,urban,4
P1,urban,5
P2,urban,16
P3,urban,4
P4,non_urban,4
P5,non_urban,5
P6,non_urban,6
P4,non_urban,3
P6,non_urban,3
P5,non_urban,2
P2,urban,12
P1,urban,4
P3,urban,2
P2,urban,8
P1,urban,3
P3,urban,4
P5,non_urban,5
P6,non_urban,3
P4,non_urban,2
P2,urban,18
P3,urban,5
P1,urban,7
P2,urban,16
P3,urban,4
P1,urban,3
P2,urban,10
P3,urban,2
P1,urban,3
P6,non_urban,4
P5,non_urban,4
P4,non_urban,2