id,transect,habitat,sex,weighted_degree,binary_degree
32,P1,urban,M,0.29028379,4
198,P1,urban,M,0,0
339,P1,urban,Sub,0,0
343,P1,urban,F,0.113095238,2
344,P1,urban,F,0.090909091,1
349,P1,urban,M,0.038461538,1
362,P1,urban,F,0,0
368,P1,urban,F,0.138528139,2
500,P1,urban,M,0.16478429,4
49,P2,urban,M,0.095454545,2
108,P2,urban,F,0.090909091,1
113,P2,urban,M,0.104166667,2
118,P2,urban,F,0.188311688,3
239,P2,urban,Sub,0.171679198,3
248,P2,urban,M,0.05,1
249,P2,urban,Sub,0.186070853,4
250,P2,urban,M,0,0
251,P2,urban,M,0.175,2
256,P2,urban,M,0.200779727,3
271,P2,urban,M,0.334990886,6
279,P2,urban,Sub,0.125,1
353,P2,urban,F,0.433705184,5
354,P2,urban,F,0.135964912,2
355,P2,urban,F,0.289484127,4
358,P2,urban,M,0.224837662,3
359,P2,urban,M,0,0
366,P2,urban,Sub,0.23015873,3
367,P2,urban,F,0,0
374,P2,urban,M,0.0625,1
379,P2,urban,M,0.502380952,4
387,P2,urban,F,0.351054018,5
401,P2,urban,F,0.174242424,2
402,P2,urban,F,0.138888889,2
404,P2,urban,M,0.090909091,1
412,P2,urban,M,0.116883117,2
418,P2,urban,F,0.362637363,2
316,P3,urban,M,0.25,1
319,P3,urban,M,0.055555556,1
320,P3,urban,Sub,0,0
323,P3,urban,F,0.125,1
324,P3,urban,M,0,0
336,P3,urban,M,0.125,1
345,P3,urban,F,0.479166667,2
347,P3,urban,M,0.731691919,3
386,P3,urban,M,0,0
388,P3,urban,F,0.25,1
433,P3,urban,F,0.53030303,2
163,P4,non_urban,M,0,0
301,P4,non_urban,M,0,0
302,P4,non_urban,M,0,0
304,P4,non_urban,M,0.083333333,1
306,P4,non_urban,F,0,0
330,P4,non_urban,M,0,0
380,P4,non_urban,F,0,0
390,P4,non_urban,F,0,0
392,P4,non_urban,M,0.083333333,1
15,P5,non_urban,M,0,0
23,P5,non_urban,M,0,0
151,P5,non_urban,M,0,0
164,P5,non_urban,M,0,0
350,P5,non_urban,M,0,0
132,P6,non_urban,M,0.25,2
134,P6,non_urban,F,0.083333333,1
136,P6,non_urban,M,0,0
159,P6,non_urban,F,0.166666667,1
205,P6,non_urban,M,0,0
331,P6,non_urban,M,0,0
393,P6,non_urban,M,0,0
407,P6,non_urban,M,0,0